,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012
Country/Territory,WBCode,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,P-Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
BRUNEI DARUSSALAM,BRN,0.54,0.47,2,72,45,87,0.38,0.46,2,66,41,84,0.39,0.46,2,69,46,85,0.30,0.39,2,65,44,83,0.29,0.35,2,64,49,80,0.41,0.35,2,70,51,83,0.26,0.29,2,62,51,73,0.23,0.35,2,63,45,78,0.24,0.36,2,63,45,78,0.54,0.27,4,73,61,80,1.02,0.23,5,81,73,90,0.89,0.22,5,80,72,86,0.88,0.22,5,78,72,85,0.64,0.21,4,72,65,81
BULGARIA,BGR,-0.78,0.30,3,26,6,43,-0.24,0.19,5,47,36,62,-0.21,0.20,7,52,33,63,-0.20,0.16,7,52,39,61,-0.07,0.15,8,55,47,61,0.10,0.15,9,58,53,67,0.06,0.14,9,57,51,64,-0.10,0.13,13,56,45,61,-0.23,0.13,13,52,41,57,-0.30,0.12,13,47,38,56,-0.25,0.13,13,51,39,59,-0.21,0.13,13,52,42,59,-0.22,0.12,14,53,40,57,-0.24,0.12,14,52,41,58
BURKINA FASO,BFA,0.22,0.47,2,64,31,83,-0.24,0.33,4,47,25,65,-0.14,0.31,4,55,30,67,-0.02,0.31,4,57,35,70,-0.03,0.25,5,57,43,68,-0.15,0.22,7,53,37,62,-0.09,0.22,7,54,39,63,-0.33,0.16,11,45,34,57,-0.35,0.16,11,45,32,57,-0.33,0.15,12,45,33,56,-0.38,0.16,12,43,29,56,-0.39,0.16,12,44,30,55,-0.39,0.16,13,43,29,56,-0.52,0.15,14,38,26,50
BURUNDI,BDI,-1.39,0.56,1,5,0,33,-1.15,0.34,3,7,2,33,-1.01,0.33,3,10,2,39,-0.94,0.34,3,20,0,43,-1.05,0.26,4,11,2,33,-0.97,0.23,5,16,5,32,-0.90,0.23,5,19,7,38,-1.07,0.18,8,12,4,23,-1.12,0.19,9,9,3,22,-1.02,0.19,9,15,4,27,-1.07,0.19,9,13,3,25,-1.11,0.19,9,12,2,23,-1.12,0.18,10,11,3,21,-1.46,0.18,11,1,0,11
CAMBODIA,KHM,-0.96,0.31,2,17,3,37,-1.08,0.21,3,9,2,27,-0.85,0.22,4,21,5,38,-0.99,0.18,4,15,2,33,-0.94,0.20,6,16,5,33,-1.02,0.21,7,14,5,28,-1.18,0.18,9,10,1,19,-1.23,0.15,12,8,3,16,-1.09,0.15,12,10,4,21,-1.20,0.15,13,7,4,16,-1.16,0.15,13,9,3,19,-1.23,0.15,13,7,2,16,-1.22,0.16,13,7,2,18,-1.04,0.15,13,14,5,24
CAMEROON,CMR,-1.16,0.30,3,7,2,28,-1.04,0.20,5,11,2,29,-1.06,0.24,5,9,3,30,-1.09,0.19,5,9,1,29,-0.86,0.19,7,18,9,37,-1.07,0.19,8,12,5,23,-1.16,0.17,9,11,3,19,-1.03,0.15,11,14,6,23,-0.95,0.16,12,16,9,27,-0.94,0.16,12,17,7,29,-0.92,0.17,12,19,8,29,-0.98,0.17,12,16,5,27,-1.04,0.16,13,16,5,23,-1.24,0.15,13,7,1,17
CANADA,CAN,2.20,0.23,5,97,93,100,2.24,0.19,5,97,93,100,2.23,0.23,5,96,93,100,2.11,0.18,5,95,92,100,2.04,0.20,5,95,92,99,1.85,0.18,6,92,92,97,1.86,0.18,6,94,92,98,1.96,0.16,9,95,92,98,1.98,0.17,10,95,92,98,1.99,0.16,10,95,92,98,2.08,0.17,10,97,94,99,2.10,0.18,10,96,93,100,2.00,0.17,11,95,93,99,1.92,0.16,11,95,93,98
CAPE VERDE,CPV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.32,0.43,2,42,12,67,0.13,0.40,2,63,35,80,0.38,0.32,4,68,54,83,0.29,0.29,4,65,51,76,0.27,0.25,5,63,53,76,0.34,0.25,5,66,55,74,0.63,0.22,6,74,66,81,0.79,0.22,6,75,70,85,0.78,0.21,6,75,70,83,0.77,0.21,6,75,71,83,0.80,0.19,7,75,72,83,0.87,0.20,7,78,72,84,0.81,0.21,7,74,70,83
CAYMAN ISLANDS,CYM,1.36,0.56,1,89,70,98,1.38,0.51,1,91,70,95,1.38,0.50,1,90,72,95,1.30,0.47,1,89,71,94,1.32,0.38,1,89,75,94,1.24,0.39,1,87,73,93,1.27,0.32,1,88,73,93,1.27,0.42,1,89,73,95,1.30,0.41,1,89,73,94,0.84,0.40,1,78,63,92,1.11,0.29,2,84,73,91,1.13,0.29,2,84,73,92,1.35,0.28,2,89,78,93,1.35,0.30,2,89,78,94
CENTRAL AFRICAN REPUBLIC,CAF,-1.39,0.56,1,5,0,33,-1.00,0.34,3,14,2,39,-1.19,0.33,3,5,1,30,-1.11,0.34,3,9,0,35,-1.23,0.26,4,7,1,24,-1.33,0.23,5,5,0,16,-1.21,0.23,5,9,1,22,-1.00,0.24,4,15,4,33,-0.97,0.24,5,15,3,34,-0.98,0.25,5,16,4,33,-0.91,0.19,8,19,7,31,-0.84,0.19,8,21,10,36,-0.84,0.19,8,20,10,36,-0.89,0.20,8,20,10,35
CHAD,TCD,-0.93,0.56,1,20,1,58,-0.94,0.34,3,17,2,41,-0.82,0.33,3,23,4,49,-0.94,0.34,3,20,0,43,-1.26,0.23,5,5,1,18,-1.28,0.21,6,7,1,16,-1.43,0.21,6,4,0,14,-1.27,0.16,9,6,2,15,-1.30,0.16,9,5,2,13,-1.45,0.16,9,3,1,7,-1.36,0.18,9,4,1,14,-1.34,0.18,9,3,1,15,-1.26,0.18,9,6,1,18,-1.25,0.19,9,6,1,18
CHILE,CHL,1.45,0.23,5,90,84,93,1.36,0.18,6,88,84,93,1.54,0.21,7,92,85,93,1.55,0.17,7,92,86,92,1.29,0.17,8,86,83,92,1.37,0.17,9,91,83,92,1.45,0.16,10,91,84,93,1.42,0.15,12,91,84,92,1.33,0.15,12,90,84,92,1.32,0.15,13,90,82,92,1.35,0.16,13,89,83,91,1.49,0.17,13,90,85,93,1.52,0.15,13,91,86,93,1.56,0.14,13,91,88,94
CHINA,CHN,-0.25,0.18,6,44,31,61,-0.25,0.16,7,46,36,61,-0.24,0.18,7,51,34,62,-0.65,0.16,7,34,24,42,-0.41,0.16,8,43,31,53,-0.56,0.15,10,35,23,48,-0.64,0.14,10,32,19,43,-0.51,0.14,11,37,26,48,-0.59,0.14,12,33,21,43,-0.54,0.14,12,35,23,47,-0.54,0.14,12,35,24,48,-0.60,0.14,13,32,22,45,-0.55,0.14,14,35,23,47,-0.48,0.13,14,39,28,51
COLOMBIA,COL,-0.49,0.23,5,33,23,53,-0.43,0.18,6,40,28,55,-0.41,0.21,7,41,26,58,-0.24,0.17,7,50,36,59,-0.17,0.17,8,52,42,59,-0.10,0.16,11,55,46,60,-0.12,0.16,12,52,45,59,-0.10,0.14,14,55,45,61,-0.19,0.15,15,53,41,59,-0.22,0.15,15,50,40,59,-0.31,0.15,15,49,33,58,-0.41,0.16,15,43,29,55,-0.30,0.15,16,48,36,56,-0.43,0.14,16,42,28,52
COMOROS,COM,-0.93,0.56,1,20,1,58,-1.31,0.34,3,3,0,27,-1.12,0.33,3,6,1,32,-0.87,0.34,3,24,0,46,-0.84,0.30,3,21,4,46,-0.84,0.26,4,20,8,44,-0.83,0.26,4,21,8,43,-0.64,0.26,4,29,12,51,-0.65,0.26,4,31,11,53,-0.76,0.27,4,24,7,47,-0.78,0.28,5,23,6,47,-0.75,0.28,5,25,7,49,-0.71,0.28,5,26,9,51,-0.73,0.28,5,26,10,51
